### 🍚 INDONESIAN RICE DISHES
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| Rujak Cingur | 320 | 18 | 37 | 14 | 1 porsi |
| Tahu Campur | 390 | 18 | 45 | 17 | 1 porsi |
| Lontong Balap | 430 | 16 | 54 | 17 | 1 porsi |
| Sate Klatak | 550 | 35 | 9 | 42 | 10 tusuk |
| Sego Tempong | 480 | 18 | 62 | 20 | 1 porsi |
| Nasi Gandul | 550 | 30 | 60 | 28 | 1 porsi |
| Tahu Tek | 340 | 15 | 42 | 18 | 1 porsi |
| Nasi Krawu | 550 | 28 | 62 | 28 | 1 porsi |
| Soto Lamongan | 340 | 23 | 31 | 15 | 1 mangkok |

### 🏝️ REGIONAL SPECIALTIES - BALI & NUSA TENGGARA
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| Babi Guling | 610 | 38 | 14 | 44 | 1 porsi |
| Sate Lilit | 370 | 28 | 9 | 26 | 8 tusuk |
| Ayam Betutu | 470 | 35 | 16 | 30 | 1 potong |
| Lawar | 280 | 19 | 17 | 16 | 1 porsi |
| Nasi Jinggo | 380 | 15 | 46 | 16 | 1 bungkus |
| Se'i Sapi | 320 | 38 | 6 | 16 | 100g |

### 🐟 REGIONAL SPECIALTIES - SULAWESI & KALIMANTAN
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| Coto Makassar | 370 | 32 | 22 | 23 | 1 mangkok |
| Pallubasa | 420 | 30 | 25 | 26 | 1 mangkok |
| Konro | 560 | 34 | 29 | 37 | 1 mangkok |
| Pisang Epe | 300 | 4 | 60 | 9 | 2 buah |
| Kapurung | 310 | 15 | 41 | 9 | 1 mangkok |

### 🍡 STREET FOOD - GORENGAN
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| Bakwan | 125 | 3 | 14 | 9 | 2 buah |
| Tahu Sumedang | 190 | 10 | 15 | 13 | 4 buah |
| Tempe Kemul | 170 | 10 | 15 | 11 | 3 buah |
| Cireng | 180 | 3 | 31 | 9 | 4 buah |
| Combro | 220 | 6 | 34 | 12 | 2 buah |
| Misro | 200 | 3 | 38 | 9 | 2 buah |
| Gehu | 150 | 8 | 14 | 9 | 3 buah |
| Ote-ote | 150 | 6 | 19 | 9 | 3 buah |
| Bala-bala | 120 | 3 | 15 | 7 | 3 buah |
| Sukun Goreng | 180 | 3 | 34 | 7 | 3 potong |

### 🥞 STREET FOOD - MARTABAK & SNACKS
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| Martabak Telor Spesial | 620 | 29 | 44 | 36 | 1 porsi |
| Martabak Manis Coklat | 520 | 10 | 68 | 27 | 1 potong |
| Martabak Manis Keju | 480 | 12 | 58 | 24 | 1 potong |
| Lumpia Semarang | 220 | 8 | 28 | 11 | 2 buah |
| Pastel | 180 | 6 | 23 | 9 | 2 buah |
| Kue Cubit | 130 | 3 | 19 | 6 | 6 buah |
| Serabi | 180 | 6 | 32 | 7 | 3 buah |
| Terang Bulan | 520 | 11 | 74 | 27 | 1 potong |

### 🍗 FAST FOOD - KFC
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| KFC Original | 310 | 27 | 13 | 20 | 1 potong |
| KFC Crispy | 370 | 24 | 17 | 26 | 1 potong |
| KFC Combo Attack | 850 | 43 | 82 | 38 | 1 paket |
| KFC Chicken Wings | 450 | 32 | 18 | 29 | 5 buah |
| KFC Rice | 190 | 4 | 40 | 2 | 1 porsi |
| KFC Pergedel | 115 | 3 | 14 | 6 | 1 buah |
| KFC Coleslaw | 155 | 3 | 15 | 10 | 1 porsi |

### 🍔 FAST FOOD - McDONALD'S
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| McD Big Mac | 565 | 26 | 49 | 29 | 1 buah |
| McD McChicken | 410 | 16 | 41 | 22 | 1 buah |
| McD Cheeseburger | 320 | 16 | 33 | 14 | 1 buah |
| McD Double Cheeseburger | 460 | 27 | 39 | 25 | 1 buah |
| McD PaNas 1 | 600 | 31 | 70 | 28 | 1 paket |
| McD Ayam Gulai | 340 | 25 | 13 | 22 | 1 potong |
| McD McFlurry | 430 | 8 | 63 | 16 | 1 cup |
| McD French Fries M | 350 | 4 | 42 | 17 | 1 porsi |
| McD Sundae | 290 | 5 | 44 | 8 | 1 cup |

### 👑 FAST FOOD - BURGER KING
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| BK Whopper | 700 | 31 | 53 | 40 | 1 buah |
| BK Whopper Jr | 390 | 16 | 32 | 22 | 1 buah |
| BK Chicken Royale | 560 | 27 | 48 | 33 | 1 buah |
| BK Onion Rings | 370 | 4 | 46 | 22 | 1 porsi |

### ☕ CAFE BEVERAGES - STARBUCKS
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| Starbucks Caramel Macchiato | 280 | 10 | 34 | 8 | Grande |
| Starbucks Latte | 200 | 12 | 19 | 8 | Grande |
| Starbucks Cappuccino | 140 | 10 | 15 | 6 | Grande |
| Starbucks Americano | 15 | 1 | 3 | 0 | Grande |
| Starbucks Frappuccino | 375 | 6 | 58 | 16 | Grande |
| Starbucks Green Tea Latte | 320 | 8 | 44 | 10 | Grande |
| Starbucks Java Chip | 440 | 8 | 68 | 16 | Grande |

### 🧋 CAFE BEVERAGES - CHATIME
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| Chatime Pearl Milk Tea | 370 | 4 | 67 | 12 | Large |
| Chatime Hazelnut Chocolate | 420 | 6 | 73 | 14 | Large |
| Chatime Taro Milk Tea | 340 | 4 | 63 | 11 | Large |
| Chatime Mango Green Tea | 280 | 3 | 56 | 6 | Large |
| Chatime Matcha Milk Tea | 340 | 6 | 59 | 11 | Large |

### ☕ CAFE BEVERAGES - KOPI KENANGAN
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| Kopi Kenangan Mantan | 180 | 7 | 30 | 6 | Medium |
| Kopi Kenangan Signature | 220 | 8 | 32 | 8 | Medium |
| Kopi Susu Tetangga | 250 | 9 | 39 | 9 | Medium |
| Es Kopi Susu | 210 | 7 | 32 | 6 | Medium |
| Avocado Coffee | 370 | 6 | 45 | 19 | Medium |

### 🥤 CAFE BEVERAGES - OTHER POPULAR
| Menu | Kalori (kcal) | Protein (g) | Carbs (g) | Fat (g) | Takaran |
| :--- | :---: | :---: | :---: | :---: | :--- |
| Kopi Janji Jiwa | 190 | 7 | 31 | 7 | Medium |
| Fore Coffee Latte | 190 | 9 | 25 | 9 | Medium |
| Gulu Gulu Cheese Tea | 420 | 8 | 60 | 18 | Large |
| Xing Fu Tang | 490 | 6 | 83 | 15 | Large |
| Tiger Sugar | 490 | 6 | 87 | 18 | Large |
